m,N,mean_nd,Naive_mean,Naive_std,MTF_mean,MTF_std,M3_mean,M3_std
2,10,2.933333333333333,0.011223766667474896,0.014226294501340537,0.005841300003339711,0.005185235834867569,0.0030802666666810787,0.0009566899076124044
2,100,4.633333333333334,0.00864426666566942,0.0034791892268600496,0.005173033321170806,0.0023708816792801647,0.00437226665705263,0.002197344236148522
2,1000,7.333333333333333,0.05670779999794225,0.016879076123014796,0.010362400003790148,0.003267300903998943,0.009505666666124549,0.0027685871650558335
2,10000,9.066666666666666,0.8592372333472061,0.24775221089044736,0.06419029999733539,0.01803165019188416,0.0540466999950695,0.011172127723662788
3,10,5.2,0.0033735000177633387,0.000960108536175488,0.0030497333265581497,0.0006784210791173764,0.002951966663052493,0.0005694645080628285
3,100,16.2,0.01547716666815783,0.003577697600495203,0.01231566666698806,0.015961980401536378,0.008066900007482522,0.0016681795621946956
3,1000,29.1,0.24054803333228847,0.05719435822972773,0.04305583333916729,0.012152464082125367,0.04242723332481546,0.011180661037385561
3,10000,51.53333333333333,3.751476733323974,0.9899843622136156,0.20410423333032668,0.048595166148621305,0.23735633330943529,0.0491695981045239
10,10,9.933333333333334,0.0038531666632479755,0.0018851240524094448,0.0032615666706684956,0.00047952768842620725,0.0033153000003949273,0.00033949518347513254
10,100,94.3,0.06386213332613504,0.0042742584912112734,0.0656802666715824,0.0034710759454881297,0.0622323000053863,0.0041737111702677635
10,1000,765.2,4.785349033325777,0.33931021501849923,4.357419500005714,0.3450768751396075,4.322612233340806,0.26493977687540715
10,10000,4924.766666666666,317.359812600004,17.7649988679617,203.7725353666815,15.506019961787013,219.4327034333469,14.342487859795517
